,Dataset,Subject,Retest,Ix,Fullname,Sxfm,Dxfm,Clustering,Degree,Homophilic,Homotopic
17770,UM,0026125,1,2221,UM_0026125_1,raw,ptr,(0.4041392248948107+0j),32.64177897574123,0.9999999980048141,0.9993923568756284
17771,UM,0026125,1,2221,UM_0026125_1,raw,combat,(0.18260534975788137+0.002310782420753442j),12.716076068060696,0.9999994895096725,0.9992364372220122
17772,UM,0026125,1,2221,UM_0026125_1,ptr,raw,(0.4240457133117991+0j),34.51071539496842,0.9999998635858834,0.9999295369995509
17773,UM,0026125,1,2221,UM_0026125_1,ptr,zscore,(0.2306085107442827+0.11961985917300605j),0.36149956114287657,0.9999989529282208,0.9996698443645117
17774,UM,0026125,1,2221,UM_0026125_1,ptr,ptr,(0.42732837270952256+0j),34.67497358195309,0.9999999977943573,0.9994491039274987
17775,UM,0026125,1,2221,UM_0026125_1,ptr,combat,(0.4107792027269007+0.003882601763010379j),34.77267741759929,0.9999997437550212,0.9995566201097935
17776,UM,0026128,2,2222,UM_0026128_2,raw,raw,(0.18928715936115342+0j),14.621213833337144,0.9738319214846985,0.9889517512391153
17777,UM,0026128,2,2222,UM_0026128_2,raw,zscore,(0.1600725863737779+0.08060499726161864j),-0.16784943341562128,0.7380353851521606,0.9622510760236271
17778,UM,0026128,2,2222,UM_0026128_2,raw,ptr,(0.42988151191545726+0j),34.70098831985624,0.996747241701111,0.8953745979711238
17779,UM,0026128,2,2222,UM_0026128_2,raw,combat,(0.17871252156555148+0.0030269229929032475j),13.805916519103846,0.9523763921461589,0.9743717404893584
17780,UM,0026128,2,2222,UM_0026128_2,ptr,raw,(0.4245732422564729+0j),34.510715394968415,0.9738319214846985,0.9889517512391153
17781,UM,0026128,2,2222,UM_0026128_2,ptr,zscore,(0.23640807783141302+0.11782174555040216j),-0.1773043738915419,0.7680337848535085,0.9759928203287349
17782,UM,0026128,2,2222,UM_0026128_2,ptr,ptr,(0.42611498172007306+0j),34.52333298150588,0.9961240047444865,0.920149801092748
17783,UM,0026128,2,2222,UM_0026128_2,ptr,combat,(0.38509279618170056+0.0054605295180319745j),34.64936152472296,0.9638897660503094,0.9759541731675977
17784,UM,0026142,2,2223,UM_0026142_2,raw,raw,(0.1814748967019386+0j),14.265888434171426,0.972693272838448,0.798199632055274
17785,UM,0026142,2,2223,UM_0026142_2,raw,zscore,(0.1439823445772201+0.07337564961944697j),-3.628068314432522,0.8227858392615137,0.5593442428753391
17786,UM,0026142,2,2223,UM_0026142_2,raw,ptr,(0.4234131082442543+0j),33.81185983827494,0.9985888927067446,0.43612573581653075
17787,UM,0026142,2,2223,UM_0026142_2,raw,combat,(0.17720911223807825+0.001566569394511098j),13.436267706048245,0.9792546508481652,0.6816591396502067
17788,UM,0026142,2,2223,UM_0026142_2,ptr,raw,(0.4246904485229582+0j),34.51071539496843,0.972693272838448,0.798199632055274
17789,UM,0026142,2,2223,UM_0026142_2,ptr,zscore,(0.25087287603043223+0.12860603988010225j),0.2572596030250536,0.8406485078905013,0.5272235011852067
17790,UM,0026142,2,2223,UM_0026142_2,ptr,ptr,(0.4303474159754396+0j),34.47696230380249,0.9986216194249489,0.437467150898462
17791,UM,0026142,2,2223,UM_0026142_2,ptr,combat,(0.39669693719902244+0.002570077259424831j),34.705118711160715,0.9790378375893819,0.6751943791905648
17792,UM,0026129,1,2224,UM_0026129_1,raw,raw,(0.1775667371867083+0j),14.474271975741429,0.995066791143422,0.81074658235671
17793,UM,0026129,1,2224,UM_0026129_1,raw,zscore,(0.1252266584745685+0.05926618537670798j),-2.11065037789415,0.9496935805006059,0.6438851604153417
17794,UM,0026129,1,2224,UM_0026129_1,raw,ptr,(0.4311428893933936+0j),34.19128481581313,0.9999152033491232,0.49750464578848985
17795,UM,0026129,1,2224,UM_0026129_1,raw,combat,(0.17856463910577083+0.0017300238284264384j),13.576210480795709,0.9882299772912271,0.8098695772996489
17796,UM,0026129,1,2224,UM_0026129_1,ptr,raw,(0.4247166218001756+0j),34.51071539496843,0.995066791143422,0.81074658235671
17797,UM,0026129,1,2224,UM_0026129_1,ptr,zscore,(0.20825794548998938+0.10288570759130834j),-0.08447295073751311,0.9687521328900711,0.5740718969979763
17798,UM,0026129,1,2224,UM_0026129_1,ptr,ptr,(0.427874091022016+0j),34.410051394812896,0.9998845301617443,0.4486232027900715
17799,UM,0026129,1,2224,UM_0026129_1,ptr,combat,(0.40204607661582364+0.0025558163659874927j),34.67966716638861,0.9906394115380766,0.7578984210076903
17800,UM,0026129,2,2225,UM_0026129_2,raw,raw,(0.15864056704965931+0j),12.90004950797143,0.8685234780351279,0.635861411145214
17801,UM,0026129,2,2225,UM_0026129_2,raw,zscore,(0.1672245919644514+0.089504139103273j),-13.806080934161583,0.1873889943401017,0.288873885845824
17802,UM,0026129,2,2225,UM_0026129_2,raw,ptr,(0.38172483389747347+0j),30.93629829290207,0.9140938822763729,0.14511833181754924
17803,UM,0026129,2,2225,UM_0026129_2,raw,combat,(0.15222698654151592+0.0023458488515903614j),12.193716205852118,0.8163960458889741,0.532572400960204
17804,UM,0026129,2,2225,UM_0026129_2,ptr,raw,(0.4239810406977446+0j),34.51071539496843,0.8685234780351279,0.635861411145214
17805,UM,0026129,2,2225,UM_0026129_2,ptr,zscore,(0.23320967884941618+0.12067828862233529j),0.1041887826807516,0.42368878283136463,0.3312307542690607
