,Sxfm,Dxfm,Dataset1,Dataset2,Average
344,raw,raw,IPCAS_6,SWU2,0.30445274194160993
345,raw,raw,IPCAS_6,SWU3,0.30461241810624246
346,raw,raw,IPCAS_6,SWU4,0.3315258014640294
347,raw,raw,IPCAS_6,UPSM_1,0.345087084382653
348,raw,raw,IPCAS_6,UWM,0.32719796611255403
349,raw,raw,IPCAS_6,Utah1,0.32793092282781383
350,raw,raw,IPCAS_6,XHCUMS,0.34535369484046263
351,raw,raw,IPCAS_7,BMB_1,0.3308169596624804
352,raw,raw,IPCAS_7,BNU1,0.334786043978762
353,raw,raw,IPCAS_7,BNU2,0.3282836270210409
354,raw,raw,IPCAS_7,BNU3,0.33337563471543546
355,raw,raw,IPCAS_7,HNU1,0.3295709179916513
356,raw,raw,IPCAS_7,IACAS_1,0.3014544063212978
357,raw,raw,IPCAS_7,IBATRT,0.3494982972482995
358,raw,raw,IPCAS_7,IPCAS_1,0.31582008795596966
359,raw,raw,IPCAS_7,IPCAS_2,0.30888996437990573
360,raw,raw,IPCAS_7,IPCAS_3,0.3208399462179366
361,raw,raw,IPCAS_7,IPCAS_4,0.32129407897278905
362,raw,raw,IPCAS_7,IPCAS_5,0.32563286189617596
363,raw,raw,IPCAS_7,IPCAS_6,0.3021189918154392
364,raw,raw,IPCAS_7,IPCAS_7,0.3088162336064141
365,raw,raw,IPCAS_7,IPCAS_8,0.3323132907720679
366,raw,raw,IPCAS_7,JHNU,0.3160482374061226
367,raw,raw,IPCAS_7,MRN_1,0.31970709606158254
368,raw,raw,IPCAS_7,NYU_1,0.32839897266824886
369,raw,raw,IPCAS_7,NYU_2,0.344323050936847
370,raw,raw,IPCAS_7,SWU1,0.3347144292995034
371,raw,raw,IPCAS_7,SWU2,0.3135173821228697
372,raw,raw,IPCAS_7,SWU3,0.3140240115843757
373,raw,raw,IPCAS_7,SWU4,0.3322386310750217
374,raw,raw,IPCAS_7,UPSM_1,0.3443487683640376
375,raw,raw,IPCAS_7,UWM,0.33008763581775036
376,raw,raw,IPCAS_7,Utah1,0.33062507559672716
377,raw,raw,IPCAS_7,XHCUMS,0.3445855783531214
378,raw,raw,IPCAS_8,BMB_1,0.3747114408946044
379,raw,raw,IPCAS_8,BNU1,0.38676384603896113
380,raw,raw,IPCAS_8,BNU2,0.37078219881802715
381,raw,raw,IPCAS_8,BNU3,0.37278906539735907
382,raw,raw,IPCAS_8,HNU1,0.3487934502291224
383,raw,raw,IPCAS_8,IACAS_1,0.33924777890148655
384,raw,raw,IPCAS_8,IBATRT,0.41726231903142225
385,raw,raw,IPCAS_8,IPCAS_1,0.349384022851312
386,raw,raw,IPCAS_8,IPCAS_2,0.35047418563178473
387,raw,raw,IPCAS_8,IPCAS_3,0.3715247032103612
388,raw,raw,IPCAS_8,IPCAS_4,0.4019453799010514
389,raw,raw,IPCAS_8,IPCAS_5,0.3888677218367347
390,raw,raw,IPCAS_8,IPCAS_6,0.32916231875791685
391,raw,raw,IPCAS_8,IPCAS_7,0.3323132907720679
392,raw,raw,IPCAS_8,IPCAS_8,0.4588359062794348
393,raw,raw,IPCAS_8,JHNU,0.37098963185571887
394,raw,raw,IPCAS_8,MRN_1,0.36481297158252773
395,raw,raw,IPCAS_8,NYU_1,0.38912118794099826
396,raw,raw,IPCAS_8,NYU_2,0.3595788833076108
397,raw,raw,IPCAS_8,SWU1,0.3819758485995777
398,raw,raw,IPCAS_8,SWU2,0.368972912377551
399,raw,raw,IPCAS_8,SWU3,0.3764434307369614
400,raw,raw,IPCAS_8,SWU4,0.3467114610329946
401,raw,raw,IPCAS_8,UPSM_1,0.3754082232541452
402,raw,raw,IPCAS_8,UWM,0.3927158669226106
403,raw,raw,IPCAS_8,Utah1,0.3926320608044384
404,raw,raw,IPCAS_8,XHCUMS,0.3753895041856435
405,raw,raw,JHNU,BMB_1,0.3486306199092971
406,raw,raw,JHNU,BNU1,0.3560148728325548
407,raw,raw,JHNU,BNU2,0.3451588642857144
408,raw,raw,JHNU,BNU3,0.35009697220888353
409,raw,raw,JHNU,HNU1,0.33820084996598654
410,raw,raw,JHNU,IACAS_1,0.3089105330789708
411,raw,raw,JHNU,IBATRT,0.3788793338188777
412,raw,raw,JHNU,IPCAS_1,0.3273528989209477
413,raw,raw,JHNU,IPCAS_2,0.3202360520503827
414,raw,raw,JHNU,IPCAS_3,0.33829137932564346
415,raw,raw,JHNU,IPCAS_4,0.3457403628653062
416,raw,raw,JHNU,IPCAS_5,0.3477894573177841
417,raw,raw,JHNU,IPCAS_6,0.308189801259864
418,raw,raw,JHNU,IPCAS_7,0.3160482374061226
419,raw,raw,JHNU,IPCAS_8,0.37098963185571887
420,raw,raw,JHNU,JHNU,0.3329229129387754
