,Sxfm,Dxfm,Column,Row,Value
212,raw,raw,3,4,0.216509
213,raw,raw,4,4,0.0
214,raw,raw,5,4,0.27229
215,raw,raw,6,4,0.376062
216,raw,raw,7,4,0.526863
217,raw,raw,8,4,0.564616
218,raw,raw,9,4,0.782866
219,raw,raw,10,4,0.619111
220,raw,raw,11,4,0.447925
221,raw,raw,12,4,0.442822
222,raw,raw,13,4,0.535414
223,raw,raw,14,4,0.516792
224,raw,raw,15,4,0.467539
225,raw,raw,16,4,0.653007
226,raw,raw,17,4,0.501659
227,raw,raw,18,4,0.572767
228,raw,raw,19,4,0.445904
229,raw,raw,20,4,0.646393
230,raw,raw,21,4,0.51192
231,raw,raw,22,4,0.431716
232,raw,raw,23,4,0.585806
233,raw,raw,24,4,0.557744
234,raw,raw,25,4,0.636211
235,raw,raw,26,4,0.565481
236,raw,raw,27,4,0.332456
237,raw,raw,28,4,0.676324
238,raw,raw,29,4,0.588412
239,raw,raw,30,4,0.677207
240,raw,raw,31,4,0.612938
241,raw,raw,32,4,0.610751
242,raw,raw,33,4,0.529197
243,raw,raw,34,4,0.437096
244,raw,raw,35,4,0.304839
245,raw,raw,36,4,0.444145
246,raw,raw,37,4,0.55037
247,raw,raw,38,4,0.181505
248,raw,raw,39,4,0.629588
249,raw,raw,40,4,0.107096
250,raw,raw,41,4,0.450974
251,raw,raw,42,4,0.554208
252,raw,raw,43,4,0.58719
253,raw,raw,44,4,0.561857
254,raw,raw,45,4,0.534101
255,raw,raw,46,4,0.271063
256,raw,raw,47,4,0.594595
257,raw,raw,48,4,0.47827
258,raw,raw,49,4,0.514188
259,raw,raw,50,4,0.359516
260,raw,raw,51,4,0.458717
261,raw,raw,52,4,0.487034
262,raw,raw,53,4,0.605873
263,raw,raw,54,4,0.514918
264,raw,raw,55,4,0.436021
265,raw,raw,56,4,0.378718
266,raw,raw,57,4,0.411473
267,raw,raw,58,4,0.596009
268,raw,raw,59,4,0.50341
269,raw,raw,60,4,0.634698
270,raw,raw,61,4,0.508349
271,raw,raw,62,4,0.225023
272,raw,raw,63,4,0.497286
273,raw,raw,64,4,0.427724
274,raw,raw,65,4,0.74689
275,raw,raw,66,4,0.504846
276,raw,raw,67,4,0.641355
277,raw,raw,68,4,0.383668
278,raw,raw,69,4,0.233038
279,raw,raw,70,4,0.477071
280,raw,raw,1,5,0.445685
281,raw,raw,2,5,0.239565
282,raw,raw,3,5,0.482357
283,raw,raw,4,5,0.27229
284,raw,raw,5,5,0.0
285,raw,raw,6,5,0.05737
286,raw,raw,7,5,0.199209
287,raw,raw,8,5,0.177604
288,raw,raw,9,5,0.214665
289,raw,raw,10,5,0.160444
290,raw,raw,11,5,0.366728
291,raw,raw,12,5,0.000414
292,raw,raw,13,5,0.310111
293,raw,raw,14,5,0.147808
294,raw,raw,15,5,0.332308
295,raw,raw,16,5,0.257807
296,raw,raw,17,5,0.257038
297,raw,raw,18,5,0.176197
298,raw,raw,19,5,0.062388
299,raw,raw,20,5,0.1656
300,raw,raw,21,5,0.243975
301,raw,raw,22,5,0.008128
