,Dataset1,Dataset2,Sxfm,Dxfm,Effect.Batch,pvalue.Batch,Effect.Sex,pvalue.Sex,Effect.Age,pvalue.Age
31,UPSM1,BNU2,raw,combat,-0.03012979103137961,1.0,0.030882548490637596,0.003727909921631303,0.0573303035352872,0.0001221453399760501
32,UPSM1,BNU3,raw,raw,0.2674828797574855,3.922088758193006e-18,0.019909926208966377,0.01057746335535017,0.21285523313529758,8.684246529798917e-15
33,UPSM1,BNU3,raw,ptr,-0.05089911402586309,1.0,0.02349338316180039,0.0060640832166597115,0.00796801205457071,0.07296140525627172
34,UPSM1,BNU3,raw,zscore,-0.04217141309434596,1.0,0.020792940093552516,0.009216230573304977,0.011823426616391816,0.03840684843973561
35,UPSM1,BNU3,raw,combat,-0.02083581648356006,1.0,0.022715179009050047,0.006838825782384988,0.030616202314269272,0.002042099678204872
36,UPSM1,NYU1,raw,raw,0.20372860776197815,1.9279583182945085e-15,0.034185972485455754,0.0007239531258170813,0.19560410717759943,6.7860356951530226e-15
37,UPSM1,NYU1,raw,ptr,-0.04648610813015624,1.0,0.02810966220395802,0.0019741177773059206,-0.009706158317098375,1.0
38,UPSM1,NYU1,raw,zscore,-0.039706643583813477,1.0,0.028493978590616677,0.0018520665416070455,-0.0048236225163763805,1.0
39,UPSM1,NYU1,raw,combat,-0.019792504402525963,1.0,0.030639191924263322,0.00129829134455582,0.015532736646501427,0.01660655782996618
40,UPSM1,XHCUMS,raw,raw,0.20875686975086902,1.2826985699271424e-17,0.02622297438787557,0.0015260235815881618,0.2138946163810999,5.2257711180481656e-18
41,UPSM1,XHCUMS,raw,ptr,-0.03987935529757567,1.0,0.026770407233644263,0.0013774156982353787,-0.030660756062160743,1.0
42,UPSM1,XHCUMS,raw,zscore,-0.03422534730295466,1.0,0.025995352380097658,0.0015925011865829813,-0.025229043142684298,1.0
43,UPSM1,XHCUMS,raw,combat,-0.015853056962464702,1.0,0.026693671685635644,0.0013973293372741146,-0.007004394809407303,1.0
44,UPSM1,IPCAS5,raw,raw,0.26624780374628393,8.004394806578174e-18,0.0563646248027029,5.011097759974493e-05,0.14541604498121252,1.6487900495157387e-10
45,UPSM1,IPCAS5,raw,ptr,-0.04929177665918765,1.0,0.016275667505567203,0.019461848685470004,0.03239698768968216,0.0016737808399558518
46,UPSM1,IPCAS5,raw,zscore,-0.027816227875604685,1.0,0.015254993202625836,0.022850057922150103,0.034908608504760956,0.0011525160766062013
47,UPSM1,IPCAS5,raw,combat,-0.004147655448009387,1.0,0.015477138090905639,0.022063939723741443,0.050625783207458405,0.00011509088085958788
48,UPSM1,IPCAS6,raw,raw,0.3010449208678352,5.413010851626644e-19,0.03903603413898295,0.0008406026687870649,0.20598099039211204,1.5115314892186485e-13
49,UPSM1,IPCAS6,raw,ptr,-0.05124509226169605,1.0,0.04154106214046702,0.0005920921311958348,0.0368127337042033,0.0011485625692998949
50,UPSM1,IPCAS6,raw,zscore,-0.044086100852748264,1.0,0.039899584136986174,0.0007448364767289875,0.037932538588931856,0.0009813325042321202
51,UPSM1,IPCAS6,raw,combat,-0.025600599447548132,1.0,0.042256421561698176,0.0005358246353356537,0.05017711880735932,0.0001783880391574101
52,UPSM1,JHNU,raw,raw,0.41611744669545825,2.720545149846786e-28,0.03607724956049258,0.0007101843139335338,0.31725886849369644,5.216049993204875e-22
53,UPSM1,JHNU,raw,ptr,-0.04685757522832368,1.0,0.030870304471971928,0.00160640858987031,0.00515472449600149,0.11421779959866885
