,Dataset1,Dataset2,Transform,Effect.Batch,pvalue.Batch,Effect.Sex,pvalue.Sex
240,IPCAS8,BNU1,raw,0.10587643897951561,0.0001525530616854801,0.03612397315163582,0.018463584084289116
241,IPCAS8,BNU1,ptr,-0.11295676655883137,1.0,0.03900436436766939,0.015016338808562645
242,IPCAS8,BNU1,zscore,-0.09824110112038224,1.0,0.038970705961559965,0.015052531722464063
243,IPCAS8,BNU1,combat,-0.04102079503280191,1.0,0.03641349157041043,0.018082900954757255
244,IPCAS8,UWM,raw,0.5291837641687688,1.3616520454694193e-10,0.07729215639714,0.008744870319491812
245,IPCAS8,UWM,ptr,-0.17652454919953767,1.0,0.0883674857653593,0.00547356880359951
246,IPCAS8,UWM,zscore,-0.15719511020450855,1.0,0.08956016926985162,0.005205653580860096
247,IPCAS8,UWM,combat,-0.07151736023289607,1.0,0.08857106462736873,0.005426862712725089
248,IPCAS8,NYU2,raw,0.138195888634992,3.42048569869753e-10,0.03007250398057946,0.002217532588368546
249,IPCAS8,NYU2,ptr,-0.05747416683926015,1.0,0.0284226567433349,0.0028493671729446176
250,IPCAS8,NYU2,zscore,-0.048412397865797714,1.0,0.026988662408585277,0.0035459100350957295
251,IPCAS8,NYU2,combat,-0.025549369138275616,1.0,0.028935595889593133,0.0026354456113978327
252,IPCAS8,HNU1,raw,0.12984957174582462,4.622119024716904e-11,0.1226169775537442,1.5433622035220619e-10
253,IPCAS8,HNU1,ptr,-0.03915474895166554,1.0,0.11852706519155166,3.053919600220679e-10
254,IPCAS8,HNU1,zscore,-0.0340547931348652,1.0,0.11640556807558332,4.35197994042035e-10
255,IPCAS8,HNU1,combat,-0.018349869802254178,1.0,0.12435711745866877,1.1545886602813105e-10
256,IPCAS8,IPCAS1,raw,0.26107091853285364,1.2806292282767223e-06,0.07093308491763187,0.00770734029288372
257,IPCAS8,IPCAS1,ptr,-0.1699544448178177,1.0,0.060645507466180346,0.012663560579109757
258,IPCAS8,IPCAS1,zscore,-0.1550616481877282,1.0,0.05432243241116787,0.01724045350031197
259,IPCAS8,IPCAS1,combat,-0.062012677895828566,1.0,0.06210365866347184,0.011798402737693364
260,IPCAS8,UPSM1,raw,0.16548695286868367,4.543196943423189e-11,0.023668019216963713,0.007886744096964937
261,IPCAS8,UPSM1,ptr,,,,
262,IPCAS8,UPSM1,zscore,,,,
263,IPCAS8,UPSM1,combat,-0.025795978207798595,1.0,0.024917897476687868,0.006599052217573638
264,IPCAS8,IACAS,raw,0.3361261195305668,5.391322513402445e-08,0.05389791171840263,0.018153009535044486
265,IPCAS8,IACAS,ptr,,,,
266,IPCAS8,IACAS,zscore,,,,
267,IPCAS8,IACAS,combat,-0.06063166663663659,1.0,0.06274880333695891,0.011846837002267411
268,IPCAS8,BNU3,raw,0.10730867031170094,0.0027886420632589164,0.034790022649585785,0.05867446348111996
269,IPCAS8,BNU3,ptr,-0.176103874660898,1.0,0.0524545873258916,0.027143825769614716
270,IPCAS8,BNU3,zscore,-0.1542710450992395,1.0,0.04258953878749849,0.04159456697430277
271,IPCAS8,BNU3,combat,-0.05872654528517232,1.0,0.03585701415407454,0.05595423510060007
272,IPCAS8,JHNU,raw,0.17990880846802007,4.936978266815054e-05,0.05207185173764252,0.01925530543045154
273,IPCAS8,JHNU,ptr,,,,
274,IPCAS8,JHNU,zscore,,,,
275,IPCAS8,JHNU,combat,-0.05310975140377939,1.0,0.042687031767065536,0.030674547504092844
276,IPCAS8,Utah1,raw,0.415432027343867,7.488144129175807e-09,0.25402790792488067,5.060696849990141e-06
277,IPCAS8,Utah1,ptr,-0.17565756102481797,1.0,-0.03558432085998288,1.0
278,IPCAS8,Utah1,zscore,-0.14644117304996457,1.0,-0.026408725760071118,1.0
279,IPCAS8,Utah1,combat,-0.05840663158218282,1.0,0.021722808573335025,0.10070271333262248
280,IPCAS8,IBATRT,raw,0.3009342948578393,1.0301160960314989e-06,0.019411924008453894,0.11564691752079001
281,IPCAS8,IBATRT,ptr,-0.16686024545017092,1.0,0.026612236009874824,0.08211527263993203
282,IPCAS8,IBATRT,zscore,-0.15341598251791053,1.0,0.024172313206245858,0.09211055712370267
283,IPCAS8,IBATRT,combat,-0.05721897731504191,1.0,0.023120790933563416,0.09681875850446152
284,IPCAS8,LMU3,raw,0.1849161600742799,0.0001044991886546528,0.07678099545535057,0.008937089759355655
285,IPCAS8,LMU3,ptr,-0.18605596207492897,1.0,0.0613672623337218,0.017317455999904023
286,IPCAS8,LMU3,zscore,-0.16505174085616328,1.0,0.05944323476073886,0.018825146067299882
287,IPCAS8,LMU3,combat,-0.0603423241928022,1.0,0.06365412156678714,0.01568620060864998
288,IPCAS8,SWU1,raw,0.1731820954736325,7.342493294452111e-05,0.11494611199514942,0.0010313513042380514
289,IPCAS8,SWU1,ptr,-0.156443024970887,1.0,0.12239087311044788,0.0007331674913364635
290,IPCAS8,SWU1,zscore,-0.14467114072349221,1.0,0.13120258390755726,0.0004902947923278101
291,IPCAS8,SWU1,combat,-0.05408290886642626,1.0,0.11951560358989129,0.0008363281728806813
292,IPCAS8,IPCAS5,raw,0.13556556324365612,0.0012004904549681916,0.11762599659508355,0.0023758549293053945
293,IPCAS8,IPCAS5,ptr,,,,
294,IPCAS8,IPCAS5,zscore,,,,
295,IPCAS8,IPCAS5,combat,-0.03340986005551891,1.0,0.04484120410139839,0.04190878300857839
296,NYU1,SWU2,raw,0.5051317410068911,4.153444153382022e-16,0.03553082288329275,0.018130700882124862
297,NYU1,SWU2,ptr,-0.11413054852564275,1.0,0.056617844345098575,0.003956435019570439
298,NYU1,SWU2,zscore,-0.09759588836947661,1.0,0.060544009878947286,0.0029955492878998248
299,NYU1,SWU2,combat,-0.04188781834479746,1.0,0.060885357315731296,0.0029241347526158842
300,NYU1,BNU2,raw,0.4084445816791967,1.6892137811049385e-17,0.04629911126214625,0.0025528206982601224
